Date : 2024-01-26 17:41:18
Directory : /Users/louislebras/Dropbox/STAMINA/www/donzellissr
Total : 264 files,  35258 codes, 845 comments, 4183 blanks, all 40286 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/sidebar-mobile/index.scss                                                  | SCSS       |        399 |          5 |         52 |        456 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/whatsappbutton/index.css                                                   | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/whatsappbutton/index.html                                                  | HTML       |          4 |          0 |          0 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/whatsappbutton/index.scss                                                  | SCSS       |         45 |          2 |          6 |         53 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/package.json                                                                      | JSON       |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/about/index.css                                                             | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/about/index.html                                                            | HTML       |         20 |          0 |          0 |         20 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/about/index.scss                                                            | SCSS       |          8 |          1 |          2 |         11 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/about/meta.html                                                             | HTML       |          2 |          0 |          1 |          3 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/blog/article-test/index.css                                                 | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/blog/article-test/index.html                                                | HTML       |          1 |          0 |          1 |          2 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/blog/article-test/index.scss                                                | SCSS       |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/blog/article-test/meta.html                                                 | HTML       |          2 |          0 |          1 |          3 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/blog/index.css                                                              | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/blog/index.html                                                             | HTML       |          1 |          0 |          1 |          2 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/blog/index.scss                                                             | SCSS       |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/blog/meta.html                                                              | HTML       |          1 |          0 |          1 |          2 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/contact/_form-container-contact.scss                                        | SCSS       |         72 |          2 |         11 |         85 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/contact/index.css                                                           | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/contact/index.html                                                          | HTML       |        131 |          1 |         13 |        145 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/contact/index.scss                                                          | SCSS       |        108 |          0 |         14 |        122 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/contact/meta.html                                                           | HTML       |          2 |          0 |          1 |          3 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/feed/index.css                                                              | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/feed/index.html                                                             | HTML       |        146 |          0 |         37 |        183 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/feed/index.scss                                                             | SCSS       |         78 |          1 |         12 |         91 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/feed/meta.html                                                              | HTML       |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/index/_brands-pro-section-home.scss                                         | SCSS       |        203 |         10 |         25 |        238 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/index/_collections-home.scss                                                | SCSS       |         87 |          7 |         12 |        106 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/index/_feed-home.scss                                                       | SCSS       |        106 |          1 |          7 |        114 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/index/_heading-home.scss                                                    | SCSS       |         42 |          1 |          6 |         49 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/index/_items-home.scss                                                      | SCSS       |        113 |          3 |         15 |        131 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/index/_spaces-home.scss                                                     | SCSS       |         68 |          2 |          8 |         78 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/index/index.css                                                             | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/index/index.html                                                            | HTML       |        464 |          7 |         62 |        533 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/index/index.scss                                                            | SCSS       |         47 |          0 |          8 |         55 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/index/meta.html                                                             | HTML       |          2 |          0 |          1 |          3 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/press/index.css                                                             | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/press/index.html                                                            | HTML       |        124 |          0 |         12 |        136 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/press/index.scss                                                            | SCSS       |        125 |          3 |         18 |        146 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/flos/arco-lamp/index.css                                           | CSS        |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/flos/arco-lamp/index.html                                          | HTML       |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/flos/arco-lamp/index.scss                                          | SCSS       |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/flos/arco-lamp/meta.html                                           | HTML       |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/flos/taccia-lamp/index.css                                         | CSS        |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/flos/taccia-lamp/index.html                                        | HTML       |         79 |          0 |         10 |         89 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/flos/taccia-lamp/index.scss                                        | SCSS       |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/flos/taccia-lamp/meta.html                                         | HTML       |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/index.html                                                         | HTML       |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/ligneroset/togo-sofa/index.css                                     | CSS        |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/ligneroset/togo-sofa/index.html                                    | HTML       |        541 |          8 |         89 |        638 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/ligneroset/togo-sofa/index.scss                                    | SCSS       |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/products/ligneroset/togo-sofa/meta.html                                     | HTML       |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/studiopro/growth-services/index.css                                         | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/studiopro/growth-services/index.html                                        | HTML       |        265 |          0 |         20 |        285 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/studiopro/growth-services/index.scss                                        | SCSS       |          2 |          0 |          1 |          3 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/studiopro/growth-services/meta.html                                         | HTML       |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/studiopro/index.css                                                         | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/studiopro/index.html                                                        | HTML       |        533 |         11 |         65 |        609 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/studiopro/index.scss                                                        | SCSS       |        574 |         40 |         81 |        695 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/pages/studiopro/meta.html                                                         | HTML       |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/blockchain-accordion-studiopro.svg                                   | XML        |          6 |          0 |          1 |          7 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/alessi-donzelli.svg                               | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/bebitalia-donzelli.svg                            | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/cassina-donzelli.svg                              | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/ethnicraft-donzelli.svg                           | XML        |          9 |          0 |          1 |         10 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/flos-donzelli.svg                                 | XML        |          6 |          0 |          1 |          7 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/gubi-donzelli.svg                                 | XML        |         13 |          0 |          1 |         14 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/hermanmiller-donzelli.svg                         | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/knoll-donzelli.svg                                | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/ligneroset-donzelli.svg                           | XML        |         15 |          0 |          1 |         16 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/moooi-donzelli.svg                                | XML        |         10 |          0 |          1 |         11 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/muuto-donzelli.svg                                | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/poltrona-frau-donzelli.svg                        | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/rochebobois-donzelli.svg                          | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/brands-home-swiper/vitra-donzelli.svg                                | XML        |          9 |          0 |          1 |         10 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/collabs-accordion-studiopro.svg                                      | XML        |         25 |          0 |          1 |         26 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/conciergerie-accordion-studiopro.svg                                 | XML        |          6 |          0 |          1 |          7 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/inspiration-platform-accordion-studiopro.svg                         | XML        |         26 |          0 |          1 |         27 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/arrow-back-white.svg                                      | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/arrow-back.svg                                            | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/arrow-white.svg                                           | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/arrow.svg                                                 | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/benefit-arrow-white.svg                                   | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/blockchain-icon-studiopro-donzelli.svg                    | XML        |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/collabs-partnerships-icon-studiopro-donzelli.svg          | XML        |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/conciergerie-brandgrowth-icon-studiopro-donzelli.svg      | XML        |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/cross-white.svg                                           | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/feed.svg                                                  | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/inspiration-platform-icon-studiopro-donzelli.svg          | XML        |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/logo-donzelli-black.svg                                   | XML        |         11 |          0 |          1 |         12 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/logo-donzelli-studio-pro-white.svg                        | XML        |         23 |          0 |          1 |         24 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/logo-donzelli-white-loader.svg                            | XML        |         27 |          0 |          1 |         28 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/logo-donzelli-white.svg                                   | XML        |         11 |          0 |          1 |         12 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/logo-inline-studiopro-donzelli.svg                        | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/map-offices-donzelli.svg                                  | XML        |         75 |          0 |          1 |         76 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/moins-icon-grey.svg                                       | XML        |          5 |          0 |          1 |          6 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/moins-icon.svg                                            | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/plus-icon-grey.svg                                        | XML        |          6 |          0 |          1 |          7 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/plus-icon-white.svg                                       | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/plus-icon.svg                                             | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/tailormade-projects-icon-studiopro-donzelli.svg           | XML        |          7 |          0 |          1 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/verified-icon-white.svg                                   | XML        |          3 |          0 |          1 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/svg-assets/whatsapp-logo-white.svg                                   | XML        |          4 |          0 |          1 |          5 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/public/media/tailormade-accordion-studiopro.svg                                   | XML        |          9 |          0 |          1 |         10 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/_black-theme.scss                                                            | SCSS       |        334 |          1 |         73 |        408 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/_fonts.scss                                                                  | SCSS       |          8 |          0 |          1 |          9 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/_reset.scss                                                                  | SCSS       |        223 |          0 |         31 |        254 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/_typography.scss                                                             | SCSS       |        385 |          7 |         39 |        431 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/_variables.scss                                                              | SCSS       |          9 |         19 |          5 |         33 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/black.scss                                                                   | SCSS       |          6 |          0 |          1 |          7 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/common-assets/_dyptique-people-module.scss                                   | SCSS       |         78 |          1 |         15 |         94 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/filters-system/_sidebar-filters.scss                                         | SCSS       |         77 |          5 |         12 |         94 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/filters-system/main-filters.scss                                             | SCSS       |          2 |          0 |          2 |          4 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/main.scss                                                                    | SCSS       |         75 |         13 |         16 |        104 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/offers-page-studiopro/_heading-page-offers.scss                              | SCSS       |         31 |          1 |          6 |         38 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/offers-page-studiopro/_intro-offers-page.scss                                | SCSS       |         34 |          1 |          7 |         42 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/offers-page-studiopro/_selector-offer.scss                                   | SCSS       |          7 |          0 |          2 |          9 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/offers-page-studiopro/main-offers-page.scss                                  | SCSS       |          1 |          0 |          1 |          2 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/products-style/_brand-section-product.scss                                   | SCSS       |         38 |          3 |          7 |         48 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/products-style/_brands-cta-class.scss                                        | SCSS       |          6 |          0 |          2 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/products-style/_brands-verified-class.scss                                   | SCSS       |          6 |          0 |          2 |          8 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/products-style/_heading-product.scss                                         | SCSS       |        272 |         16 |         36 |        324 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/products-style/_options-product.scss                                         | SCSS       |        283 |          9 |         48 |        340 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/products-style/_selector-other-products.scss                                 | SCSS       |        124 |          1 |         17 |        142 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/products-style/_sidebar-content-click.scss                                   | SCSS       |         80 |          0 |         12 |         92 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/products-style/_story-product.scss                                           | SCSS       |         98 |          2 |         16 |        116 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/scss/products-style/main-product.scss                                             | SCSS       |         93 |          0 |         22 |        115 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/server/base-html.html                                                             | HTML       |         36 |          0 |          7 |         43 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/server/html-rendering.mjs                                                         | JavaScript |         73 |          6 |         15 |         94 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/server/ssr.mjs                                                                    | JavaScript |         53 |         10 |         12 |         75 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/utils/index.mjs                                                                   | JavaScript |         68 |         22 |         21 |        111 |
| Total                                                                                                                                |            |     35,258 |        845 |      4,183 |     40,286 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
